Station Carrefour ID,Date,Enseigne Concurrente,Produit,Inférieur,Supérieur,Égal
31370001,2024-05-02,Auchan,GPLc,1,0,0
38150001,2024-01-09,Avia,GPLc,0,3,0
31190003,2024-01-24,Géant,GPLc,1,0,0
78120003,2024-07-09,Intermarché,GPLc,0,1,0
31220002,2024-06-21,Total,GPLc,1,1,0
17170003,2024-07-26,Total Access,GPLc,0,2,0
69200001,2024-04-27,Auchan,GPLc,1,2,0
30900002,2024-03-15,Total Access,GPLc,0,0,2
34600001,2024-04-22,Leclerc,GPLc,0,0,1
29196001,2024-08-06,Total Access,GPLc,0,1,0
31170001,2024-08-12,Avia,GPLc,0,1,0
59430001,2024-06-05,Total Access,GPLc,1,0,0
30900002,2024-01-15,Leclerc,GPLc,0,0,1
71100002,2024-07-13,Auchan,GPLc,0,1,0
15100005,2024-03-01,Intermarché,GPLc,1,0,0
29280001,2024-02-26,Total Access,GPLc,0,2,0
38240003,2024-05-15,Total Access,GPLc,1,3,0
56190011,2024-03-23,Auchan,GPLc,1,0,0
31220002,2024-04-06,Total,GPLc,1,1,0
94430003,2024-01-31,Auchan,GPLc,0,1,0
31190003,2024-06-11,Géant,GPLc,1,0,0
59430001,2024-05-21,CORA,GPLc,1,0,0
59160002,2024-07-22,Intermarché,GPLc,1,0,0
69132001,2024-01-09,Roady,GPLc,0,1,0
38150001,2024-05-06,Intermarché,GPLc,0,1,0
94430003,2024-03-30,Avia,GPLc,0,3,0
78410002,2024-03-17,BP,GPLc,0,6,0
38240003,2024-04-29,Avia,GPLc,0,1,0
38150001,2024-04-20,ENI,GPLc,0,1,0
59160002,2024-01-21,Intermarché,GPLc,0,1,0
29300004,2024-07-06,Avia,GPLc,0,1,0
31190003,2024-02-25,Systéme U,GPLc,1,1,0
38240003,2024-01-19,Géant,GPLc,0,1,0
38150001,2024-05-23,Total Access,GPLc,0,5,0
31370001,2024-07-22,Total,GPLc,1,1,0
31190003,2024-05-26,Total,GPLc,1,0,0
4000001,2024-03-13,Auchan,GPLc,1,0,0
13220003,2024-01-09,ENI,GPLc,0,2,0
56006001,2024-05-24,Avia,GPLc,0,1,0
31170001,2024-01-01,Total,GPLc,1,0,0
13741001,2024-01-03,Géant,GPLc,1,2,0
69200001,2024-07-31,Total Access,GPLc,0,1,0
59290001,2024-04-08,Systéme U,GPLc,0,1,0
12400001,2024-05-01,Leclerc,GPLc,0,0,1
38150001,2024-04-28,Leclerc,GPLc,0,1,0
38150001,2024-02-07,Systéme U,GPLc,0,1,0
12400001,2024-01-09,Leclerc,GPLc,0,0,1
78410002,2024-07-14,Avia,GPLc,0,2,0
31370001,2024-05-18,Auchan,GPLc,1,0,0
31220002,2024-05-28,Intermarché,GPLc,1,0,0
69200001,2024-07-23,Roady,GPLc,0,1,0
17170003,2024-06-16,Total Access,GPLc,0,2,0
34600001,2024-05-10,Auchan,GPLc,1,0,0
56190011,2024-01-22,Avia,GPLc,2,0,0
78120003,2024-02-01,Intermarché,GPLc,0,1,0
59430001,2024-01-23,Auchan,GPLc,1,0,0
34600001,2024-04-25,Dyneff,GPLc,1,0,0
78120003,2024-01-10,Intermarché,GPLc,0,1,0
38150001,2024-08-09,Avia,GPLc,0,3,0
6156001,2024-02-03,Avia,GPLc,0,2,0
31220002,2024-06-05,Systéme U,GPLc,1,0,1
59160002,2024-03-11,Total,GPLc,1,2,0
13220003,2024-07-14,Avia,GPLc,0,2,0
12400001,2024-01-05,Leclerc,GPLc,0,0,1
29196001,2024-03-03,Total Access,GPLc,0,0,1
35301001,2024-07-07,Intermarché,GPLc,0,1,0
38150001,2024-02-16,Leclerc,GPLc,0,1,0
38240003,2024-01-01,Avia,GPLc,0,1,0
4000001,2024-06-06,Auchan,GPLc,0,1,0
31170001,2024-01-13,Auchan,GPLc,1,0,0
78410002,2024-01-26,Total,GPLc,0,4,0
29280001,2024-07-04,Total Access,GPLc,0,2,0
13220003,2024-04-25,Total Access,GPLc,0,1,6
78120003,2024-03-19,Esso,GPLc,0,1,0
94430003,2024-06-16,CORA,GPLc,0,1,0
69200001,2024-02-17,Total,GPLc,0,1,0
59430001,2024-03-30,Total,GPLc,1,1,0
17170003,2024-07-12,Total,GPLc,0,1,0
78120003,2024-06-27,Esso,GPLc,0,1,0
56190011,2024-01-10,Géant,GPLc,1,0,0
13220003,2024-06-26,Leclerc,GPLc,0,1,0
69200001,2024-06-06,Roady,GPLc,0,1,0
50300001,2024-07-27,Intermarché,GPLc,0,1,0
13741001,2024-02-24,Leclerc,GPLc,1,0,0
17170003,2024-03-03,Total,GPLc,0,1,0
13741001,2024-07-23,Total,GPLc,0,2,1
69132001,2024-07-13,Total,GPLc,0,1,0
34600001,2024-05-05,Leclerc,GPLc,0,0,1
38240003,2024-07-29,Total Access,GPLc,1,3,0
59160002,2024-01-02,Total Access,GPLc,5,0,0
31190003,2024-03-17,Auchan,GPLc,1,0,0
38240003,2024-02-19,Géant,GPLc,0,1,0
56006001,2024-03-01,Leclerc,GPLc,1,0,0
